age,income,credit_score,loan_amount,employment_years,debt_to_income_ratio,education,employment_type,loan_approved
39,57090.01947365918,628.4094412346618,123659.12290898952,19,0.6,Master,Freelancer,1
59,50190.861167298615,467.2468695098782,141593.79607927645,12,0.6,Master,Self-Employed,0
47,37474.03418239955,575.8868009283727,330595.2295323671,17,0.6,High School,Salaried,1
57,24102.914132522812,502.04868644956514,99325.27206490003,13,0.6,Master,Freelancer,0
38,21865.751754232042,564.9077607449859,365556.5074944494,0,0.6,Master,Salaried,0
34,28231.031356554682,551.5005136080943,160706.8199185899,9,0.6,High School,Salaried,0
44,35070.475019762875,493.17109735965175,251085.77796657511,13,0.6,PhD,Self-Employed,0
40,27332.21835762744,459.63857739890614,237362.5607064713,4,0.6,Master,Salaried,0
25,21439.379780021423,431.911132162602,232546.8821148126,16,0.6,High School,Salaried,0
50,45593.14856889102,590.2143622116831,292509.55501598376,1,0.6,High School,Self-Employed,0
53,19073.111353716864,563.3678787418509,485288.9026083435,16,0.6,High School,Self-Employed,0
42,37580.424981657605,715.2677344279552,389584.7935306765,16,0.6,Bachelor,Salaried,1
32,18005.600305320062,562.570082063977,332763.12713997066,3,0.6,Master,Self-Employed,0
30,31763.704781550423,391.1325534385615,60000.0,17,0.6,PhD,Salaried,0
47,21242.69158401223,680.2843647604918,237961.63523861856,10,0.6,Bachelor,Freelancer,0
30,31176.08456266564,447.23991750325683,345166.5485784277,5,0.6,High School,Freelancer,0
52,20418.31664418654,617.1761938332429,201223.67437802066,19,0.6,Bachelor,Salaried,0
34,15000.0,507.78749766271517,420603.358958615,12,0.6,Bachelor,Self-Employed,0
40,31823.42727487042,620.8283318719342,260463.09418999695,13,0.6,High School,Salaried,0
51,24515.077197247905,533.6181248658055,235015.26742558565,18,0.6,Bachelor,Freelancer,0
50,29473.650302275477,459.6957354042962,165710.0068044648,10,0.6,High School,Salaried,0
22,61733.905239619795,465.67701000350377,229563.21547752354,2,0.6,Bachelor,Salaried,0
31,63342.03517597432,465.0156459606377,317502.7077966312,3,0.6,High School,Salaried,0
62,46033.719963489915,484.52308742309464,230865.55024686322,8,0.6,High School,Freelancer,0
50,40128.96230955017,735.8937523558056,178164.97905859383,16,0.6,Bachelor,Freelancer,0
24,48445.232062556766,562.2455164155632,375639.8466088356,11,0.6,Master,Freelancer,0
38,26638.563715230433,568.1632477447055,323958.4973239353,19,0.6,High School,Salaried,0
27,34987.50488804228,664.3679414031014,198510.56356210075,13,0.6,High School,Freelancer,0
48,19221.739229328174,459.6872918759625,293524.05847857,13,0.6,High School,Freelancer,0
56,35769.34059943034,484.08959707764467,201461.02563335656,7,0.6,High School,Self-Employed,0
25,30865.24848607573,491.68070982593093,291773.4652715444,17,0.6,Bachelor,Salaried,0
52,33837.88848381875,479.3030705508676,167558.83919402864,18,0.6,High School,Freelancer,0
36,43347.30757727142,706.125806487413,235363.28150821308,13,0.6,High School,Salaried,0
35,46717.911886146685,509.84615265108425,332717.54332402564,8,0.6,High School,Self-Employed,0
42,26869.92268424246,438.40717045426663,83060.96276292397,18,0.6,Bachelor,Freelancer,0
23,31235.52629185327,523.7392198242686,204943.12516281064,9,0.6,Bachelor,Salaried,0
36,45477.291028255866,490.5874656241466,204685.38749151016,9,0.6,Master,Self-Employed,0
55,28921.108232027647,451.73821015578295,129350.68991632182,14,0.6,Bachelor,Freelancer,0
42,40033.97557221391,600.83712214499,143431.58716409997,18,0.6,High School,Salaried,0
62,38876.71780826265,374.9913745934067,87200.8058557031,12,0.6,Master,Self-Employed,0
46,30886.497905735265,573.7538101285397,183767.65980333375,12,0.6,Bachelor,Salaried,0
51,16754.219040597698,688.4878293552838,456689.2843957646,13,0.6,Bachelor,Salaried,1
50,32383.846452550064,750.0,100797.57194834203,6,0.6,Bachelor,Salaried,0
40,41966.61460120011,690.0587533884919,240537.00125447055,0,0.6,Bachelor,Freelancer,0
40,25351.5742972812,531.7585459548012,286045.57535830664,16,0.6,High School,Salaried,0
29,18633.272887076135,540.1984364525701,228771.49673682288,1,0.6,High School,Salaried,0
52,32484.946248806813,652.1681500721538,207807.4146311793,19,0.6,Bachelor,Freelancer,0
24,33506.92814398016,640.8814188061384,404952.93839676847,16,0.6,Bachelor,Self-Employed,0
24,28679.23285286757,467.7921374645534,151440.67845725085,4,0.6,High School,Salaried,0
45,24743.548051845268,349.36669602202613,215724.52875708867,10,0.6,Bachelor,Freelancer,0
39,24151.10667540052,508.3542717722043,189091.5768076698,19,0.6,Bachelor,Self-Employed,1
48,20707.528020985752,696.5386872208579,207501.0678660881,5,0.6,High School,Freelancer,0
51,33984.16419609682,543.1690209656309,156191.63101613053,7,0.6,Master,Self-Employed,0
54,16440.921444027,424.49205562107744,124019.4913790726,6,0.6,PhD,Salaried,0
32,15000.0,479.8001527558573,169999.65895984677,13,0.6,High School,Salaried,0
52,31585.98596361391,612.8767693269108,97082.12067826209,9,0.6,High School,Salaried,0
25,51324.86728828962,592.5622118183563,162121.30517051258,14,0.6,High School,Self-Employed,0
50,57213.33609866563,525.4793372106133,286208.3742429359,0,0.6,Bachelor,Salaried,0
59,15000.0,566.6313479962159,369613.3210466022,4,0.6,Bachelor,Freelancer,0
40,35398.12918991306,519.491482111638,341780.4745626535,13,0.6,Bachelor,Salaried,0
60,35431.73180099141,537.1918923218049,136087.04972128716,19,0.6,Bachelor,Freelancer,0
39,39637.445310773095,419.5858664927746,67980.09994823806,1,0.6,Master,Salaried,0
32,42537.261342634505,430.95551496746566,244565.4985516176,5,0.6,High School,Freelancer,0
35,27798.694362320086,486.01878196609294,194415.31919403325,10,0.6,Bachelor,Freelancer,0
39,27477.299595530192,495.4434300901215,249107.1154981992,10,0.6,High School,Salaried,0
47,30100.371394083977,453.4981954858644,292287.9357583844,14,0.6,Bachelor,Freelancer,0
24,34802.88382285272,599.09086267506,316930.5624340888,15,0.6,Master,Salaried,0
37,15000.0,598.5255200749039,380469.7795188989,14,0.6,Master,Salaried,0
33,24355.15341692323,657.8941544665091,168360.3265540066,11,0.6,Bachelor,Self-Employed,0
59,18367.641778193378,543.0843694265322,234610.54768491193,12,0.6,Bachelor,Salaried,0
60,29788.242256995032,487.5950934000564,281569.55616066017,8,0.6,Bachelor,Freelancer,0
44,33310.716826144584,464.7721552668788,299885.51136345044,2,0.6,High School,Freelancer,0
45,26335.0375055294,345.82420339785085,148902.47675502766,2,0.6,Master,Salaried,0
39,38604.75406904911,569.223109074718,275169.48511513724,15,0.6,Bachelor,Self-Employed,0
23,27534.027004659332,436.14480753830816,210672.85170682755,12,0.6,High School,Freelancer,0
64,44905.33097267343,636.7327178408858,345416.1345480302,7,0.6,High School,Self-Employed,0
51,26006.086229897533,596.6509163640308,248791.46651437593,18,0.6,Bachelor,Freelancer,0
38,33252.06292316811,603.1023513683614,60000.0,1,0.6,Master,Salaried,0
41,23457.191461920673,651.8063071828202,181889.73795707177,4,0.6,High School,Salaried,0
58,29808.772487009504,540.1833433689137,139632.1676547963,4,0.6,PhD,Salaried,0
64,39929.41649337355,544.7650494562696,340385.18375447043,16,0.6,High School,Salaried,1
59,28704.034409863314,474.17356067735557,149385.3030562204,19,0.6,Master,Salaried,0
38,28291.695923125608,482.2348956136684,176841.0966032384,4,0.6,Master,Salaried,0
57,37904.28090472274,506.5691216894616,164696.35379141907,16,0.6,Master,Self-Employed,0
24,40918.15907215461,597.209306161108,197855.4415128624,16,0.6,Master,Freelancer,0
57,25949.167360793646,526.1874687671981,284827.95344843966,16,0.6,High School,Self-Employed,0
39,35364.439368681255,581.7704665115289,214351.13143461331,6,0.6,High School,Freelancer,0
38,15000.0,570.1441707181597,270229.7730587602,17,0.6,High School,Salaried,0
28,32630.766894332883,516.5020908908701,352891.2296172104,7,0.6,Bachelor,Self-Employed,0
56,17289.420145057655,750.0,260236.31184089478,10,0.6,Bachelor,Self-Employed,0
54,39291.001132966914,561.9961217824688,254608.00013947603,1,0.6,Master,Freelancer,1
31,15000.0,622.9088080659182,334925.30097875476,9,0.6,High School,Self-Employed,0
56,30242.153406040634,364.01916485935396,238836.4473073075,0,0.6,High School,Freelancer,0
25,17863.08460654786,520.4432728547444,349047.3293122299,19,0.6,Bachelor,Freelancer,0
60,31881.369570559396,575.6904095091637,143952.46110554488,12,0.6,Bachelor,Freelancer,0
33,24277.361007925687,632.1455432807413,304491.32274756953,12,0.6,High School,Freelancer,1
51,57451.17964775073,470.31443224916643,146618.63997653854,13,0.6,Bachelor,Salaried,0
58,31249.539793500415,609.6603893590042,214253.1558866411,10,0.6,Bachelor,Salaried,0
51,19347.53845178969,410.6730330062719,367466.8977448663,5,0.6,High School,Salaried,0
25,36030.53697903326,499.9713017008348,252422.1160813114,11,0.6,Master,Self-Employed,0
48,19385.32363078357,531.1541097780798,401790.3953763246,19,0.6,High School,Freelancer,0
58,15000.0,715.5883841664784,213972.45647856052,5,0.6,Master,Salaried,0
31,33292.825052948596,548.9167808870009,201149.44617959007,5,0.6,Bachelor,Salaried,0
53,15000.0,688.9824605411499,60000.0,15,0.6,Bachelor,Self-Employed,0
43,31671.36783704115,353.3361577067816,166747.06970800646,19,0.6,High School,Salaried,0
50,28211.060004812578,468.5271723298711,194576.52399924005,0,0.6,Bachelor,Freelancer,0
26,41782.39159200306,569.1759327186584,132678.63573452143,8,0.6,Bachelor,Self-Employed,0
41,25565.920139433423,463.08559037974504,153028.0984963487,17,0.6,High School,Salaried,0
29,37389.539007599524,640.8540794681568,285769.61095553637,8,0.6,Bachelor,Self-Employed,0
51,28451.515451655072,458.9009901328611,385902.73580998566,11,0.6,Master,Salaried,0
58,29139.443566274582,631.4547576639592,255225.53189947517,18,0.6,High School,Self-Employed,0
64,26642.431614769146,467.8309609645675,201242.6902461776,16,0.6,Master,Salaried,0
35,28633.70620717609,509.4668509286404,267768.7944234717,8,0.6,High School,Freelancer,0
40,30927.764249673495,643.6645745754026,297967.01514112984,5,0.6,High School,Salaried,0
54,31897.18791979586,482.0027419643805,177270.95989804823,18,0.6,Bachelor,Salaried,0
60,15000.0,588.1976423450293,352739.3114279936,0,0.6,Bachelor,Self-Employed,0
62,37837.860781804775,555.9799872097963,318795.2995397423,4,0.6,High School,Self-Employed,0
51,27670.15438420505,542.0804135048523,258112.84110128344,5,0.6,Bachelor,Self-Employed,0
36,18155.88572589429,725.8987080012532,352908.31283173984,7,0.6,High School,Self-Employed,0
60,28022.027097388043,601.1149043484942,222076.2749123182,12,0.6,Master,Salaried,0
44,21453.27210720427,540.8525823056341,182462.21090455074,8,0.6,Bachelor,Self-Employed,0
59,30235.97495865246,556.2325865651073,251485.0109810333,12,0.6,High School,Freelancer,0
22,28295.435315903524,445.4558247944551,226038.49209833945,17,0.6,Bachelor,Salaried,0
62,19303.337333598374,579.4323540874497,333476.2448647523,15,0.6,PhD,Salaried,0
62,32258.387457707508,601.0600078507978,190212.3842863101,8,0.6,High School,Self-Employed,0
59,21323.40501633611,631.1433032548679,327775.5691457191,2,0.6,High School,Salaried,0
63,34184.152388377464,718.9428583574013,173119.91560832236,5,0.6,High School,Salaried,0
41,15000.0,588.7551947620659,377508.06672095903,7,0.6,Master,Salaried,0
34,31621.555997620362,442.8294170625828,390183.2488921712,18,0.6,High School,Self-Employed,0
24,24211.588790528047,570.3590918026906,242270.7136131371,3,0.6,High School,Self-Employed,1
35,26007.15365455898,498.7615086715713,181020.60782364837,1,0.6,Master,Self-Employed,0
45,44878.94432133637,484.096536123691,407902.8945568914,0,0.6,High School,Salaried,0
23,26421.831476480646,485.94325730349806,136267.1057084343,16,0.6,High School,Salaried,0
26,33564.3089395409,555.1184945103635,143822.63728747322,6,0.6,High School,Self-Employed,0
22,40312.82196801967,475.88510155300025,454801.02826652885,8,0.6,High School,Salaried,0
45,45225.430928104695,577.597226732082,177370.73845953573,18,0.6,Bachelor,Self-Employed,0
41,19835.188878193767,384.95136382413057,261242.66288897183,16,0.6,Bachelor,Salaried,0
32,41284.14751865972,300.0,205387.8663832595,18,0.6,Bachelor,Self-Employed,0
63,20727.514006322257,535.7267811900358,195091.6651089929,18,0.6,Master,Freelancer,0
23,18072.286169708306,412.1558359213645,299503.8481467482,10,0.6,Bachelor,Salaried,0
24,43748.5941753989,497.98483597073863,246337.5839103956,15,0.6,High School,Freelancer,0
45,22967.630489338546,378.46850168381695,232196.31562683545,8,0.6,High School,Freelancer,0
34,32442.07070795968,369.1951644913983,171102.39014702354,3,0.6,Bachelor,Salaried,0
61,40323.45910779016,571.5006384726679,409987.9164388791,15,0.6,High School,Self-Employed,0
58,46169.399021897065,504.2392403362971,172809.81957437872,8,0.6,High School,Freelancer,0
57,29451.697627406338,545.6564466583662,348122.96886888845,8,0.6,Bachelor,Self-Employed,0
57,27519.88651728,546.8475654829983,250489.57030030867,13,0.6,High School,Freelancer,0
48,26032.750501368588,484.5423784856557,227698.81993719534,15,0.6,High School,Salaried,0
41,29664.529726613353,686.6525862933559,245388.9938054846,17,0.6,High School,Salaried,0
26,40329.18045916062,582.4922874710841,242639.07592397038,10,0.6,High School,Self-Employed,0
61,15000.0,750.0,92176.56180758419,13,0.6,High School,Salaried,0
45,27219.662828898705,692.8589118225573,247351.99480571612,13,0.6,PhD,Salaried,1
32,37656.95426108582,611.8909854539394,198261.09262516565,13,0.6,PhD,Self-Employed,0
37,37441.49568002668,548.3608887605848,60000.0,9,0.6,Bachelor,Self-Employed,0
50,15000.0,496.9376138872837,294770.5458067719,17,0.6,Bachelor,Salaried,0
35,40303.924263130786,484.28503477976466,227670.44731721873,5,0.6,High School,Salaried,0
55,30597.147706929365,562.0944530299255,308993.7394096862,3,0.6,Master,Self-Employed,0
37,20657.84162443557,637.4398206924375,219190.95286563833,15,0.6,Bachelor,Self-Employed,0
39,19375.588631115716,454.7458501550313,180810.1869376171,14,0.6,Master,Self-Employed,0
46,23705.541393706615,547.4255026344583,278173.4009107799,10,0.6,Master,Salaried,0
45,26977.155751383012,437.29502373027117,170037.5318154244,3,0.6,High School,Self-Employed,0
64,40396.388948858854,559.5937860069379,205787.874257592,15,0.6,Master,Salaried,0
30,20690.30347227379,598.8031599868225,357791.6201486331,4,0.6,Bachelor,Salaried,1
62,17223.70919359751,639.2096965722377,289684.26316411246,14,0.6,High School,Salaried,0
35,20556.799740610222,575.8491687578321,218907.2656685865,13,0.6,High School,Salaried,0
47,26811.925770395996,492.76271632228656,267920.6162142135,0,0.6,PhD,Salaried,0
53,15000.0,515.9347477696749,337161.2411625339,14,0.6,Master,Self-Employed,0
32,42703.11544692511,551.4690581506584,300846.17047822644,13,0.6,High School,Self-Employed,0
60,30308.77752980638,531.1370842789466,354818.11602645123,5,0.6,High School,Salaried,0
38,36531.75852143305,578.9299844164933,225256.2320421636,1,0.6,PhD,Freelancer,0
45,35583.46902284024,571.0167432294842,242713.51160065224,3,0.6,Bachelor,Freelancer,0
42,31363.975365934348,641.345705987248,166868.50951576477,17,0.6,High School,Self-Employed,0
59,26626.61588863271,427.1191082359286,360519.7098878576,9,0.6,High School,Salaried,0
39,16628.34949114873,574.8877948681804,221609.26472121855,18,0.6,Bachelor,Freelancer,0
37,25885.090476375954,464.0305704559484,153683.40464508365,11,0.6,PhD,Self-Employed,0
43,28922.238060368378,526.5538641282113,178292.098443806,6,0.6,Bachelor,Self-Employed,0
41,35229.17363150984,430.525811554184,344354.9669254602,13,0.6,Bachelor,Freelancer,0
42,39561.49978648266,553.3576890269185,144248.73564228986,9,0.6,High School,Salaried,0
25,42033.20592635362,419.2623393479971,188855.2876812449,11,0.6,Master,Freelancer,0
59,20237.684781790893,475.5158436250069,262683.509768761,18,0.6,High School,Self-Employed,1
32,29248.474295810858,750.0,152613.99198806344,7,0.6,Master,Freelancer,1
33,33528.06582843127,606.5098910601552,377739.8138933768,4,0.6,Bachelor,Self-Employed,0
28,30490.37461548017,635.7434719158374,246717.1861123261,2,0.6,High School,Salaried,0
48,42860.174671016284,475.33350352509643,191586.23998973248,10,0.6,High School,Salaried,0
39,27327.74698580957,654.4419733785065,227395.0986214439,13,0.6,Master,Salaried,0
63,43242.38022096273,521.9627405056958,227208.51486024875,1,0.6,High School,Freelancer,1
34,27324.080782260236,501.45480794619573,164523.3035450051,6,0.6,High School,Salaried,0
30,25305.93777312019,598.6389479830221,264373.83051642,17,0.6,Bachelor,Freelancer,0
22,15742.437185536555,562.6625550820595,264307.7001140501,16,0.6,Bachelor,Self-Employed,0
52,38054.92106146941,661.4436171822615,266131.5714084956,19,0.6,High School,Self-Employed,0
40,43547.691398570896,434.2983525627528,184110.87306166862,15,0.6,High School,Salaried,0
49,38255.59181467026,479.7609238437737,229359.28884797037,14,0.6,High School,Self-Employed,0
64,27413.104095284856,508.04450862532804,163145.95721431484,5,0.6,High School,Self-Employed,0
